Datetime,PM2.5
2020-05-16 16:00:00,35.42
2015-04-26 09:00:00,60.83
2017-02-11 07:00:00,137.24
2016-01-16 10:00:00,164.75
2015-10-16 17:00:00,139.63
2016-05-17 00:00:00,96.81
2015-08-03 13:00:00,50.93
2017-03-21 10:00:00,134.06
2016-08-30 09:00:00,68.23
2017-12-23 03:00:00,120.85
2018-06-12 11:00:00,105.05
2016-03-08 04:00:00,82.73
2017-03-13 08:00:00,127.67
2016-12-08 08:00:00,195.21
2016-02-26 00:00:00,148.31
2015-04-27 09:00:00,57.24
2016-12-01 22:00:00,316.2
2019-03-27 04:00:00,82.93
2016-03-14 18:00:00,36.33
2017-01-08 01:00:00,140.02
2016-12-30 16:00:00,188.36
2017-10-06 04:00:00,43.01
2020-01-11 14:00:00,84.57
2015-05-05 08:00:00,171.0
2017-09-29 09:00:00,91.36
2019-12-03 14:00:00,90.34
2017-06-17 22:00:00,45.5
2018-02-12 01:00:00,77.0
2016-05-31 07:00:00,69.26
2017-10-30 16:00:00,159.86
2018-11-14 16:00:00,102.69
2020-06-17 02:00:00,42.61
2017-04-28 09:00:00,160.58
2018-12-24 09:00:00,480.45
2020-02-09 09:00:00,200.41
2020-03-07 17:00:00,51.11
2017-12-25 20:00:00,171.72
2020-01-25 07:00:00,136.58
2016-04-10 05:00:00,66.96
2015-07-07 19:00:00,43.59
2015-06-28 11:00:00,98.91
2018-05-08 11:00:00,55.72
2018-07-25 15:00:00,33.25
2019-08-09 11:00:00,14.9
2016-01-30 02:00:00,294.58
2016-05-31 20:00:00,98.7
2015-08-20 23:00:00,38.62
2016-04-08 23:00:00,211.69
2016-03-03 06:00:00,205.29
2020-03-30 21:00:00,36.33
2018-07-21 16:00:00,56.88
2015-06-04 21:00:00,95.13
2018-01-12 05:00:00,160.8
2015-08-26 02:00:00,66.61
2015-11-04 22:00:00,263.51
2018-09-01 12:00:00,27.13
2018-12-15 01:00:00,131.98
2018-07-14 19:00:00,23.61
2018-12-09 05:00:00,225.04
2019-05-12 17:00:00,72.94
2018-10-10 23:00:00,92.28
2015-05-18 22:00:00,95.42
2015-08-10 07:00:00,82.17
2017-06-02 23:00:00,181.0
2015-10-19 10:00:00,159.9
2018-07-31 07:00:00,34.89
2015-11-06 20:00:00,287.87
2020-02-25 19:00:00,69.76
2017-08-15 16:00:00,29.0
2017-12-09 15:00:00,123.17
2016-08-30 21:00:00,33.25
2018-05-12 17:00:00,126.31
2018-12-31 00:00:00,541.11
2017-05-19 02:00:00,105.3
2020-01-04 13:00:00,210.58
2016-12-23 00:00:00,392.49
2016-06-29 02:00:00,76.52
2015-09-06 10:00:00,67.43
2015-12-14 19:00:00,92.73
2018-01-09 19:00:00,141.32
2019-10-01 09:00:00,38.55
2017-07-14 15:00:00,22.5
2017-08-07 22:00:00,48.0
2019-01-28 21:00:00,147.14
2016-04-29 00:00:00,194.83
2018-01-17 22:00:00,265.1
2016-04-23 08:00:00,127.38
2018-08-10 19:00:00,53.52
2018-07-04 06:00:00,39.04
2018-11-08 21:00:00,345.48
2018-01-28 23:00:00,237.14
2016-10-21 10:00:00,88.25
2018-06-10 08:00:00,69.33
2016-01-17 22:00:00,266.84
2016-03-21 05:00:00,61.73
2016-11-03 14:00:00,189.11
2018-10-06 01:00:00,101.03
2018-02-03 11:00:00,231.66
2015-11-23 18:00:00,170.11
2016-08-29 07:00:00,39.08
2019-11-13 08:00:00,416.64
2019-02-22 02:00:00,145.92
2019-12-04 03:00:00,189.24
2016-06-08 06:00:00,56.98
2016-12-31 17:00:00,117.94
2017-10-02 03:00:00,88.63
2017-08-27 03:00:00,34.0
2017-11-18 12:00:00,128.57
2018-04-28 19:00:00,76.67
2017-01-04 17:00:00,74.96
2019-06-23 11:00:00,42.42
2018-07-20 19:00:00,46.38
2017-08-09 06:00:00,39.0
2019-07-24 23:00:00,21.9
2018-07-27 04:00:00,10.55
2018-04-07 01:00:00,26.57
2019-03-22 14:00:00,27.44
2015-09-22 14:00:00,33.68
2018-12-20 21:00:00,285.91
2019-05-08 16:00:00,79.46
2016-05-14 13:00:00,78.49
2016-12-12 00:00:00,276.85
2019-07-01 16:00:00,61.43
2017-02-06 19:00:00,84.06
2019-01-25 15:00:00,78.18
2015-02-21 04:00:00,162.18
2018-02-18 13:00:00,76.38
2017-06-13 17:00:00,32.5
2015-08-06 10:00:00,78.19
2016-08-13 23:00:00,103.39
2015-05-17 10:00:00,91.72
2015-08-23 12:00:00,47.83
2018-04-07 09:00:00,54.27
2017-04-27 01:00:00,69.09
2015-04-17 12:00:00,55.56
2018-11-20 20:00:00,204.9
2015-08-19 23:00:00,47.28
2015-06-11 23:00:00,118.46
2015-09-12 07:00:00,99.16
2015-08-14 10:00:00,46.83
2017-03-04 10:00:00,153.55
2018-10-18 10:00:00,158.82
2020-01-21 16:00:00,185.12
2016-01-21 18:00:00,162.74
2019-02-27 23:00:00,78.61
2016-01-06 14:00:00,198.52
2018-08-06 22:00:00,49.53
2017-07-09 20:00:00,39.0
2015-07-04 08:00:00,72.17
2018-12-24 21:00:00,380.12
2019-06-05 14:00:00,65.86
2018-12-11 00:00:00,310.58
2018-04-10 16:00:00,67.0
2019-08-09 19:00:00,11.96
2019-04-27 18:00:00,61.64
2016-10-07 18:00:00,90.91
2018-09-17 21:00:00,61.47
2018-05-15 16:00:00,59.8
2018-02-18 11:00:00,183.3
2017-02-09 19:00:00,75.86
2019-05-14 04:00:00,42.14
2015-08-19 20:00:00,47.64
2018-04-27 12:00:00,97.83
2018-03-12 11:00:00,115.96
2016-06-26 10:00:00,60.28
2017-09-03 10:00:00,70.39
2017-12-26 15:00:00,152.37
2017-05-28 00:00:00,45.0
2015-02-18 13:00:00,178.95
2018-06-20 10:00:00,99.72
2017-10-29 23:00:00,215.46
2019-05-13 22:00:00,58.82
2015-01-07 04:00:00,218.27
2019-09-26 09:00:00,23.52
2015-08-19 11:00:00,32.37
2019-10-03 02:00:00,61.72
2018-02-18 18:00:00,44.68
2016-09-14 22:00:00,86.65
2015-05-18 02:00:00,67.39
2019-02-27 19:00:00,31.57
2019-11-30 17:00:00,72.57
2020-06-28 19:00:00,73.47
2016-02-17 14:00:00,135.77
2015-11-21 11:00:00,349.78
2020-05-13 04:00:00,64.79
2019-04-28 15:00:00,58.19
2016-10-13 16:00:00,29.61
2017-07-17 16:00:00,29.0
2015-11-29 07:00:00,129.23
2016-01-25 01:00:00,202.26
2016-08-17 11:00:00,68.29
2020-05-19 21:00:00,77.02
2019-10-26 02:00:00,176.42
2016-08-14 18:00:00,30.72
2016-03-21 19:00:00,27.09
2017-11-27 00:00:00,262.47
2018-07-10 12:00:00,46.53
2020-03-06 11:00:00,31.33
2017-03-07 23:00:00,140.86
2016-12-05 17:00:00,118.42
2018-08-29 01:00:00,30.36
2015-03-27 17:00:00,67.96
2019-06-18 22:00:00,54.29
2017-10-27 14:00:00,152.89
2017-01-31 06:00:00,285.5
2019-02-06 11:00:00,205.63
2018-09-12 12:00:00,28.49
2019-01-11 18:00:00,148.77
2015-10-06 13:00:00,127.12
2015-04-15 20:00:00,41.74
2019-12-13 17:00:00,123.62
2016-01-17 07:00:00,154.14
2015-10-18 11:00:00,157.58
2016-12-12 19:00:00,150.72
2017-05-02 19:00:00,83.08
2020-05-19 09:00:00,199.68
2019-11-29 07:00:00,39.57
2015-08-20 04:00:00,24.67
2016-12-06 21:00:00,320.02
